2024-11-29T21:53:37.057895+08:00 - INFO - >>>>>>>>>>>>>>Running settings>>>>>>>>>>>>>>
2024-11-29T21:53:37.058038+08:00 - INFO - iteration: 10000
2024-11-29T21:53:37.058125+08:00 - INFO - lr: 0.0001
2024-11-29T21:53:37.058207+08:00 - INFO - dlr: 0.0001
2024-11-29T21:53:37.058270+08:00 - INFO - batch_size: 64
2024-11-29T21:53:37.058328+08:00 - INFO - print_freq: 50
2024-11-29T21:53:37.058399+08:00 - INFO - dataset: bank
2024-11-29T21:53:37.058458+08:00 - INFO - level: 2
2024-11-29T21:53:37.058514+08:00 - INFO - dataset_portion: 0.05
2024-11-29T21:53:37.058585+08:00 - INFO - train_portion: 0.7
2024-11-29T21:53:37.058640+08:00 - INFO - test_portion: 0.3
2024-11-29T21:53:37.058700+08:00 - INFO - attack: fsha
2024-11-29T21:53:37.058754+08:00 - INFO - loss_threshold: 1.7
2024-11-29T21:53:37.058809+08:00 - INFO - n_domins: 4
2024-11-29T21:53:37.058863+08:00 - INFO - pseudo_train: None
2024-11-29T21:53:37.058917+08:00 - INFO - a: 0.7
2024-11-29T21:53:37.059006+08:00 - INFO - >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>


2024-11-29T21:53:37.743100+08:00 - CRITICAL - Dataset column permutation is: 
 range(0, 20)
2024-11-29T21:53:37.747622+08:00 - CRITICAL - Creating dataset, len(samples): 30488; positive labels sum: 3859
2024-11-29T21:53:37.750081+08:00 - CRITICAL - 
[FUNCTION]: Splitting dataset by getSplittedDataset()......
2024-11-29T21:53:37.750201+08:00 - INFO - Display first (x, y) pair of dataset:
 tensor([0.5000, 0.3000, 0.5000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.6667,
        0.2500, 0.0531, 0.0000, 1.0000, 0.0000, 0.5000, 0.9375, 0.6988, 0.6025,
        0.9574, 0.8597]), tensor(0.)
2024-11-29T21:53:37.751628+08:00 - INFO - Shape of (x, y): torch.Size([20]) torch.Size([])
2024-11-29T21:53:37.754002+08:00 - CRITICAL - len(trainset): 21341
2024-11-29T21:53:37.754153+08:00 - CRITICAL - len(testset): 9147
2024-11-29T21:53:37.754244+08:00 - INFO - DataSet:bank
2024-11-29T21:53:37.754350+08:00 - INFO - Train Dataset: 21341
2024-11-29T21:53:37.754413+08:00 - INFO - Test Dataset: 9147
2024-11-29T21:53:37.754473+08:00 - INFO - Shadow Dataset:1067
2024-11-29T21:53:43.878267+08:00 - CRITICAL - Iter: 50 / 10000,  Pseudo Inverse Loss: 0.3128, Discriminator Loss: 6.0153, Pseudo Target MSELoss: 0.5481,  Dis_Pseudo_Loss: 5.5685, Dis_target_Loss.: 0.0665
2024-11-29T21:53:48.402764+08:00 - CRITICAL - Iter: 100 / 10000,  Pseudo Inverse Loss: 0.1905, Discriminator Loss: 36.7319, Pseudo Target MSELoss: 410.0061,  Dis_Pseudo_Loss: 36.1278, Dis_target_Loss.: 0.0536
2024-11-29T21:53:52.779476+08:00 - CRITICAL - Iter: 150 / 10000,  Pseudo Inverse Loss: 0.0820, Discriminator Loss: -38.4724, Pseudo Target MSELoss: 1087.8065,  Dis_Pseudo_Loss: -38.7202, Dis_target_Loss.: 0.1056
2024-11-29T21:53:57.299676+08:00 - CRITICAL - Iter: 200 / 10000,  Pseudo Inverse Loss: 0.0767, Discriminator Loss: -20.6765, Pseudo Target MSELoss: 123.0340,  Dis_Pseudo_Loss: -21.1114, Dis_target_Loss.: 0.1320
2024-11-29T21:54:01.742303+08:00 - CRITICAL - Iter: 250 / 10000,  Pseudo Inverse Loss: 0.0788, Discriminator Loss: -5.1748, Pseudo Target MSELoss: 5.9856,  Dis_Pseudo_Loss: -5.9034, Dis_target_Loss.: 0.1036
2024-11-29T21:54:06.377997+08:00 - CRITICAL - Iter: 300 / 10000,  Pseudo Inverse Loss: 0.0731, Discriminator Loss: 0.3923, Pseudo Target MSELoss: 0.0937,  Dis_Pseudo_Loss: -0.9968, Dis_target_Loss.: 0.1090
2024-11-29T21:54:10.490652+08:00 - CRITICAL - Iter: 350 / 10000,  Pseudo Inverse Loss: 0.0754, Discriminator Loss: 3.4930, Pseudo Target MSELoss: 0.1287,  Dis_Pseudo_Loss: 0.7904, Dis_target_Loss.: 0.0847
2024-11-29T21:54:15.021522+08:00 - CRITICAL - Iter: 400 / 10000,  Pseudo Inverse Loss: 0.0803, Discriminator Loss: 4.4583, Pseudo Target MSELoss: 4.2886,  Dis_Pseudo_Loss: 4.3959, Dis_target_Loss.: 0.0075
2024-11-29T21:54:19.683562+08:00 - CRITICAL - Iter: 450 / 10000,  Pseudo Inverse Loss: 0.0644, Discriminator Loss: 11.3260, Pseudo Target MSELoss: 44.6444,  Dis_Pseudo_Loss: 9.7686, Dis_target_Loss.: 0.0038
2024-11-29T21:54:23.931370+08:00 - CRITICAL - Iter: 500 / 10000,  Pseudo Inverse Loss: 0.0638, Discriminator Loss: 9.2008, Pseudo Target MSELoss: 239.0559,  Dis_Pseudo_Loss: 8.7872, Dis_target_Loss.: 0.0358
2024-11-29T21:54:28.308872+08:00 - CRITICAL - Iter: 550 / 10000,  Pseudo Inverse Loss: 0.0577, Discriminator Loss: -1.4751, Pseudo Target MSELoss: 244.8975,  Dis_Pseudo_Loss: -6.8231, Dis_target_Loss.: 0.1133
